2024-07-24 10:19:36.019 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:105 | getting connection
2024-07-24 10:19:36.026 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:113 | setting parameters
2024-07-24 10:19:36.029 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:129 | executing sql=select name, score from person order by name, parameters []
2024-07-24 10:19:36.032 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:132 | executed ps=prep9: select name, score from person order by name
2024-07-24 10:19:36.037 | [main] | TRACE | com.github.davidmoten.rx.jdbc.QuerySelectProducer:114 | onNext
2024-07-24 10:19:36.045 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:161 | closing rs
2024-07-24 10:19:36.046 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:214 | closed rs9: null
2024-07-24 10:19:36.046 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:163 | closing ps
2024-07-24 10:19:36.046 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:165 | closing con
2024-07-24 10:19:36.046 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Util:148 | closed conn1: url=jdbc:h2:mem:test1 user=
2024-07-24 10:19:36.046 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:167 | closed
2024-07-24 10:19:36.047 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:152 | closing ps
2024-07-24 10:19:36.047 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:154 | closing con
2024-07-24 10:19:36.047 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:156 | closed
2024-07-24 10:19:36.047 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectProducer:141 | onError: class java.lang.String cannot be cast to class com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person (java.lang.String is in module java.base of loader 'bootstrap'; com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person is in unnamed module of loader 'app')
2024-07-24 10:19:36.047 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:715 | endTransactionObserve
2024-07-24 10:19:36.049 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.Database:706 | endTransactionSubscribe
2024-07-24 10:19:36.050 | [main] | DEBUG | com.github.davidmoten.rx.jdbc.QuerySelectOnSubscribe:146 | onError: class java.lang.String cannot be cast to class com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person (java.lang.String is in module java.base of loader 'bootstrap'; com.github.davidmoten.rx.jdbc.DatabaseTestBase$Person is in unnamed module of loader 'app')
