2024-08-05 13:21:36.987 | [main] | INFO  | o.a.m.internal.ManagerConnectionImpl:639 | Connecting to localhost:5038
2024-08-05 13:21:36.989 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:642 | Creating reader for localhost:5038
2024-08-05 13:21:36.990 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:647 | Creating writer
2024-08-05 13:21:36.990 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:651 | Creating socket
2024-08-05 13:21:36.990 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:654 | Passing socket to reader
2024-08-05 13:21:36.992 | [main] | DEBUG | o.a.m.internal.ManagerConnectionImpl:666 | Passing socket to writer
2024-08-05 13:21:37.067 | [Thread-3] | DEBUG | o.a.m.internal.ManagerConnectionImpl:1070 | Dispatching event:
org.asteriskjava.manager.event.ProtocolIdentifierReceivedEvent[dateReceived='Mon Aug 05 13:21:37 JST 2024',server=null,protocolidentifier='Asterisk Call Manager/1.0',calleridname=null,systemname=null,connectedlinename=null,priority=null,sequencenumber=null,exten=null,channelstate=null,calleridnum=null,context=null,connectedlinenum=null,timestamp=null,channelstatedesc=null,systemHashcode=313499159]
2024-08-05 13:21:37.068 | [Thread-3] | INFO  | o.a.m.internal.ManagerConnectionImpl:1225 | Connected via Asterisk Call Manager/1.0
2024-08-05 13:21:37.070 | [Thread-3] | WARN  | o.a.m.internal.ManagerConnectionImpl:1228 | Unsupported protocol version 'Asterisk Call Manager/1.0'. Use at your own risk.
2024-08-05 13:21:37.288 | [main] | INFO  | o.a.m.internal.ManagerConnectionImpl:702 | Closing socket.
